Country,File,clusterid,latitude,longitude
Afghanistan,Flags/Afghanistan.png,4,33.7680065,66.2385139
Albania,Flags/Albania.png,2,41.000028,19.9999619
Algeria,Flags/Algeria.png,0,28.0000272,2.9999825
Andorra,Flags/Andorra.png,9,42.5407167,1.5732033
Angola,Flags/Angola.png,9,-11.8775768,17.5691241
Antigua and Barbuda,Flags/Antigua_and_Barbuda.png,9,17.2234721,-61.9554608
Argentina,Flags/Argentina.png,9,-34.9964963,-64.9672817
Armenia,Flags/Armenia.png,0,40.7696272,44.6736646
Artsakh,Flags/Artsakh.png,0,39.9406698,46.8353268
Australia,Flags/Australia.png,3,-24.7761086,134.755
Austria,Flags/Austria.png,0,47.59397,14.12456
Azerbaijan,Flags/Azerbaijan.png,9,40.3936294,47.7872508
Bahamas,Flags/Bahamas.png,6,24.7736546,-78.0000547
Bahrain,Flags/Bahrain.png,9,26.1551249,50.5344606
Bandera de España,Flags/Bandera_de_España.png,9,40.0716389,-2.1360667
Bangladesh,Flags/Bangladesh.png,9,24.4769288,90.2934413
Barbados,Flags/Barbados.png,1,13.1500331,-59.5250305
Belarus,Flags/Belarus.png,0,53.4250605,27.6971358
Belgium,Flags/Belgium.png,0,50.6402809,4.6667145
Belize,Flags/Belize.png,8,16.8259793,-88.7600927
Benin,Flags/Benin.png,0,9.5293472,2.2584408
Bhutan,Flags/Bhutan.png,0,27.549511,90.5119273
Bolivia,Flags/Bolivia.png,9,-17.0568696,-64.9912286
Bosnia and Herzegovina,Flags/Bosnia_and_Herzegovina.png,2,44.3053476,17.5961467
Botswana,Flags/Botswana.png,0,-23.1681782,24.5928742
Brazil,Flags/Brazil.png,2,-10.3333333,-53.2
Brunei,Flags/Brunei.png,1,4.4137155,114.5653908
Bulgaria,Flags/Bulgaria.png,0,42.6073975,25.4856617
Burkina Faso,Flags/Burkina_Faso.png,9,12.0753083,-1.6880314
Burundi,Flags/Burundi.png,1,-3.426449,29.9324519
Cambodia,Flags/Cambodia.png,3,12.5433216,104.8144914
Cameroon,Flags/Cameroon.png,9,4.6125522,13.1535811
Canada,Flags/Canada.png,1,61.0666922,-107.991707
Cape Verde,Flags/Cape_Verde.png,0,16.0000552,-24.0083947
Central African Republic,Flags/Central_African_Republic.png,0,7.0323598,19.9981227
Chad,Flags/Chad.png,0,15.6134137,19.0156172
Chile,Flags/Chile.png,0,-31.7613365,-71.3187697
Colombia,Flags/Colombia.png,0,4.099917,-72.9088133
Comoros,Flags/Comoros.png,9,-12.2045176,44.2832964
Cook Islands,Flags/Cook_Islands.png,3,-19.919672900000002,-157.9753368892878
Costa Rica,Flags/Costa_Rica.png,0,10.2735633,-84.0739102
Croatia,Flags/Croatia.png,9,45.3658443,15.6575209
Cuba,Flags/Cuba.png,9,23.0131338,-80.8328748
Cyprus,Flags/Cyprus.png,9,34.9823018,33.1451285
Czech Republic,Flags/Czech_Republic.png,0,49.7439047,15.3381061
Côte d'Ivoire,Flags/Côte_d'Ivoire.png,0,7.9897371,-5.5679458
Democratic Republic of Congo,Flags/Democratic_Republic_of_Congo.png,2,-15.4139213,28.289698
Denmark,Flags/Denmark.png,0,55.670249,10.3333283
Djibouti,Flags/Djibouti.png,1,11.8145966,42.8453061
Dominica,Flags/Dominica.png,5,19.0974031,-70.3028026
Dominican Republic,Flags/Dominican_Republic.png,0,19.0974031,-70.3028026
East Timor,Flags/East_Timor.png,9,-8.7443169,126.063482
Ecuador,Flags/Ecuador.png,9,-1.3397668,-79.3666965
Egypt,Flags/Egypt.png,0,26.2540493,29.2675469
El Salvador,Flags/El_Salvador.png,9,13.8000382,-88.9140683
Equatorial Guinea,Flags/Equatorial_Guinea.png,9,1.613172,10.5170357
Eritrea,Flags/Eritrea.png,9,15.9500319,37.9999668
Estonia,Flags/Estonia.png,0,58.7523778,25.3319078
Eswatini,Flags/Eswatini.png,9,-26.5624806,31.3991317
Ethiopia,Flags/Ethiopia.png,9,10.2116702,38.6521203
Federated States of Micronesia,Flags/Federated_States_of_Micronesia.png,0,8.6062347,151.832744331612
Fiji,Flags/Fiji.png,3,-18.1239696,179.0122737
Finland,Flags/Finland.png,0,63.2467777,25.9209164
France,Flags/France.png,0,46.603354,1.8883335
Gabon,Flags/Gabon.png,0,-0.8999695,11.6899699
Georgia,Flags/Georgia.png,3,32.3293809,-83.1137366
Germany,Flags/Germany.png,0,51.1638175,10.4478313
Ghana,Flags/Ghana.png,1,8.0300284,-1.0800271
Greece,Flags/Greece.png,0,38.9953683,21.9877132
Grenada,Flags/Grenada.png,1,12.1360374,-61.6904045
Guatemala,Flags/Guatemala.png,9,15.5855545,-90.345759
Guinea-Bissau,Flags/Guinea-Bissau.png,1,11.815215,-15.2351044
Guinea,Flags/Guinea.png,0,10.7226226,-10.7083587
Guyana,Flags/Guyana.png,2,4.8417097,-58.6416891
Haiti,Flags/Haiti.png,0,19.1399952,-72.3570972
Honduras,Flags/Honduras.png,0,15.2572432,-86.0755145
Hungary,Flags/Hungary.png,0,47.1817585,19.5060937
Iceland,Flags/Iceland.png,3,64.9841821,-18.1059013
India,Flags/India.png,9,22.3511148,78.6677428
Indonesia,Flags/Indonesia.png,0,-2.4833826,117.8902853
Iran,Flags/Iran.png,9,32.6475314,54.5643516
Iraq,Flags/Iraq.png,9,33.0955793,44.1749775
Ireland,Flags/Ireland.png,0,52.865196,-7.9794599
Israel,Flags/Israel.png,9,30.8124247,34.8594762
Italy,Flags/Italy.png,0,42.6384261,12.674297
Jamaica,Flags/Jamaica.png,9,18.1850507,-77.3947693
Japan,Flags/Japan.png,9,36.5748441,139.2394179
Jordan,Flags/Jordan.png,2,31.1667049,36.941628
Kazakhstan,Flags/Kazakhstan.png,9,48.1012954,66.7780818
Kenya,Flags/Kenya.png,9,1.4419683,38.4313975
Kiribati,Flags/Kiribati.png,9,0.3448612,173.6641773
Kosovo,Flags/Kosovo.png,0,42.5869578,20.9021231
Kuwait,Flags/Kuwait.png,0,29.2733964,47.4979476
Kyrgyzstan,Flags/Kyrgyzstan.png,9,41.5089324,74.724091
Laos,Flags/Laos.png,9,20.0171109,103.378253
Latvia,Flags/Latvia.png,0,56.8406494,24.7537645
